Period,Number,Big/Small,Color,Premium
20250618100011097,8,Big,red,35728
20250618100011098,4,Small,red,95344
20250618100011099,0,Small,"red,violet",40150
20250618100011100,7,Big,green,92437
20250618100011101,0,Small,"red,violet",16990
20250618100011102,0,Small,"red,violet",24860
20250618100011103,7,Big,green,95957
20250618100011104,7,Big,green,25587
20250618100011105,6,Big,red,80596
20250618100011106,0,Small,"red,violet",25290
20250618100011107,6,Big,red,25336
20250618100011108,7,Big,green,45817
20250618100011109,5,Big,"green,violet",74445
20250618100011110,1,Small,green,62911
20250618100011111,2,Small,red,93562
20250618100011112,7,Big,green,11557
20250618100011113,1,Small,green,21601
20250618100011114,9,Big,green,28749
20250618100011115,8,Big,red,79988
20250618100011116,6,Big,red,88396
20250618100011117,6,Big,red,59886
20250618100011118,2,Small,red,23202
20250618100011119,0,Small,"red,violet",12790
20250618100011120,7,Big,green,64757
20250618100011121,3,Small,green,23593
20250618100011122,6,Big,red,12276
20250618100011123,5,Big,"green,violet",59235
20250618100011124,9,Big,green,76559
20250618100011125,4,Small,red,52744
20250618100011126,7,Big,green,93467
20250618100011127,8,Big,red,11948
20250618100011128,2,Small,red,58662
20250618100011129,8,Big,red,47178
20250618100011130,5,Big,"green,violet",81965
20250618100011131,9,Big,green,44069
20250618100011132,0,Small,"red,violet",23380
20250618100011133,4,Small,red,75084
20250618100011134,0,Small,"red,violet",12770
20250618100011135,8,Big,red,62128
20250618100011136,9,Big,green,22929
20250618100011137,5,Big,"green,violet",33415
20250618100011138,0,Small,"red,violet",31590
20250618100011139,2,Small,red,64142
20250618100011140,6,Big,red,67546
20250618100011141,2,Small,red,76462
20250618100011142,9,Big,green,36669
20250618100011143,1,Small,green,68841
20250618100011144,8,Big,red,25968
20250618100011145,2,Small,red,29092
20250618100011146,5,Big,"green,violet",14875
20250618100011147,1,Small,green,38201
20250618100011148,5,Big,"green,violet",83035
20250618100011149,3,Small,green,22773
20250618100011150,9,Big,green,97549
20250618100011151,3,Small,green,58803
20250618100011152,4,Small,red,29694
20250618100011153,0,Small,"red,violet",14400
20250618100011154,2,Small,red,79712
20250618100011155,2,Small,red,61772
20250618100011156,5,Big,"green,violet",10135
20250618100011157,4,Small,red,69104
20250618100011158,1,Small,green,54671
20250618100011159,0,Small,"red,violet",78630
20250618100011160,4,Small,red,86044
20250618100011161,2,Small,red,94122
20250618100011162,9,Big,green,15669
20250618100011163,3,Small,green,96223
20250618100011164,1,Small,green,89511
20250618100011165,4,Small,red,12804
20250618100011166,9,Big,green,66909
20250618100011167,3,Small,green,59783
20250618100011168,6,Big,red,79776
20250618100011169,3,Small,green,13713
20250618100011170,3,Small,green,48073
20250618100011171,1,Small,green,88131
20250618100011172,4,Small,red,28834
20250618100011173,7,Big,green,74727
20250618100011174,4,Small,red,14474
20250618100011175,5,Big,"green,violet",73185
20250618100011176,2,Small,red,63012
20250618100011177,1,Small,green,68181
20250618100011178,9,Big,green,56829
20250618100011179,5,Big,"green,violet",59935
20250618100011180,3,Small,green,42923
20250618100011181,5,Big,"green,violet",14875
20250618100011182,4,Small,red,22174
20250618100011183,6,Big,red,49456
20250618100011184,9,Big,green,32889
20250618100011185,4,Small,red,68744
20250618100011186,4,Small,red,29684
20250618100011187,2,Small,red,79662
20250618100011188,9,Big,green,61959
20250618100011189,2,Small,red,54792
20250618100011190,3,Small,green,54873
20250618100011191,7,Big,green,47847
20250618100011192,2,Small,red,60282
20250618100011193,5,Big,"green,violet",31345
20250618100011194,6,Big,red,81966
20250618100011195,0,Small,"red,violet",65310
20250618100011196,2,Small,red,49072
20250618100011197,6,Big,red,17606
20250618100011198,4,Small,red,33194
20250618100011199,0,Small,"red,violet",20780
20250618100011200,3,Small,green,47033
20250618100011201,3,Small,green,77313
20250618100011202,8,Big,red,43358
20250618100011203,4,Small,red,70624
20250618100011204,7,Big,green,24947
20250618100011205,5,Big,"green,violet",89925
20250618100011206,5,Big,"green,violet",81655
20250618100011207,0,Small,"red,violet",35010
20250618100011208,5,Big,"green,violet",77295
20250618100011209,1,Small,green,25121
20250618100011210,1,Small,green,49071
20250618100011211,8,Big,red,87098
20250618100011212,0,Small,"red,violet",49130
20250618100011213,4,Small,red,86824
20250618100011214,4,Small,red,99484
20250618100011215,8,Big,red,90388
20250618100011216,5,Big,"green,violet",31165
20250618100011217,1,Small,green,54341
20250618100011218,5,Big,"green,violet",69885
20250618100011219,9,Big,green,33839
20250618100011220,6,Big,red,86326
20250618100011221,7,Big,green,25817
20250618100011222,7,Big,green,47917
20250618100011223,8,Big,red,99408
20250618100011224,4,Small,red,34724
20250618100011225,4,Small,red,66504
20250618100011226,9,Big,green,75949
20250618100011227,7,Big,green,58947
20250618100011228,5,Big,"green,violet",56745
20250618100011229,1,Small,green,18581
20250618100011230,5,Big,"green,violet",44805
20250618100011231,6,Big,red,68306
20250618100011232,4,Small,red,28304
20250618100011233,5,Big,"green,violet",92815
20250618100011234,3,Small,green,17033
20250618100011235,1,Small,green,50391
20250618100011236,2,Small,red,17412
20250618100011237,5,Big,"green,violet",75655
20250618100011238,8,Big,red,73858
20250618100011239,2,Small,red,26872
20250618100011240,1,Small,green,13861
20250618100011241,1,Small,green,52901
20250618100011242,3,Small,green,90883
20250618100011243,3,Small,green,44903
20250618100011244,7,Big,green,28617
20250618100011245,2,Small,red,92422
20250618100011246,1,Small,green,96611
20250618100011247,1,Small,green,71551
20250618100011248,3,Small,green,71953
20250618100011249,8,Big,red,56428
20250618100011250,4,Small,red,63534
20250618100011251,0,Small,"red,violet",37200
20250618100011252,6,Big,red,65906
20250618100011253,2,Small,red,12712
20250618100011254,1,Small,green,61821
20250618100011255,0,Small,"red,violet",21550
20250618100011256,0,Small,"red,violet",60890
20250618100011257,7,Big,green,52467
20250618100011258,2,Small,red,39722
20250618100011259,6,Big,red,41916
20250618100011260,8,Big,red,89788
20250618100011261,5,Big,"green,violet",91585
20250618100011262,9,Big,green,75979
20250618100011263,2,Small,red,65752
20250618100011264,6,Big,red,42746
20250618100011265,7,Big,green,19137
20250618100011266,7,Big,green,89327
20250618100011267,2,Small,red,36942
20250618100011268,6,Big,red,66676
20250618100011269,9,Big,green,30759
20250618100011270,2,Small,red,39782
20250618100011271,0,Small,"red,violet",80220
20250618100011272,0,Small,"red,violet",25430
20250618100011273,1,Small,green,90521
20250618100011274,9,Big,green,24209
20250618100011275,6,Big,red,79056
20250618100011276,9,Big,green,22899
20250618100011277,6,Big,red,61596
20250618100011278,5,Big,"green,violet",87225
20250618100011279,8,Big,red,97198
20250618100011280,4,Small,red,68844
20250618100011281,9,Big,green,91339
20250618100011282,1,Small,green,87231
20250618100011283,6,Big,red,12626
20250618100011284,0,Small,"red,violet",47270
20250618100011285,6,Big,red,82586
20250618100011286,2,Small,red,81972
20250618100011287,1,Small,green,36861
20250618100011288,1,Small,green,30721
20250618100011289,1,Small,green,97631
20250618100011290,4,Small,red,91074
20250618100011291,6,Big,red,78106
20250618100011292,4,Small,red,14564
20250618100011293,8,Big,red,92328
20250618100011294,3,Small,green,82703
20250618100011295,8,Big,red,17798
20250618100011296,2,Small,red,50282
20250618100011297,5,Big,"green,violet",82955
20250618100011298,3,Small,green,35323
20250618100011299,2,Small,red,29742
20250618100011300,7,Big,green,81077
20250618100011301,3,Small,green,90813
20250618100011302,1,Small,green,58161
20250618100011303,3,Small,green,98363
20250618100011304,9,Big,green,76629
20250618100011305,2,Small,red,61722
20250618100011306,6,Big,red,93926
20250618100011307,0,Small,"red,violet",12410
20250618100011308,1,Small,green,30781
20250618100011309,3,Small,green,74633
20250618100011310,6,Big,red,52026
20250618100011311,0,Small,"red,violet",15870
20250618100011312,4,Small,red,68514
20250618100011313,0,Small,"red,violet",69520
20250618100011314,8,Big,red,49028
20250618100011315,5,Big,"green,violet",78275
20250618100011316,4,Small,red,67774
20250618100011317,1,Small,green,42551
20250618100011318,6,Big,red,63256
20250618100011319,4,Small,red,70564
20250618100011320,1,Small,green,55881
20250618100011321,9,Big,green,41439
20250618100011322,7,Big,green,52947
20250618100011323,7,Big,green,21407
20250618100011324,1,Small,green,96491
20250618100011325,1,Small,green,43771
20250618100011326,3,Small,green,72063
20250618100011327,4,Small,red,71504
20250618100011328,7,Big,green,98887
20250618100011329,8,Big,red,57918
20250618100011330,2,Small,red,79762
20250618100011331,1,Small,green,94871
20250618100011332,1,Small,green,90231
20250618100011333,1,Small,green,16991
20250618100011334,2,Small,red,96612
20250618100011335,6,Big,red,58966
20250618100011336,4,Small,red,13114
20250618100011337,5,Big,"green,violet",35775
20250618100011338,2,Small,red,36562
20250618100011339,5,Big,"green,violet",15095
20250618100011340,6,Big,red,71846
20250618100011341,5,Big,"green,violet",38615
20250618100011342,8,Big,red,22518
20250618100011343,6,Big,red,29206
20250618100011344,8,Big,red,62708
20250618100011345,0,Small,"red,violet",50750
20250618100011346,3,Small,green,97983
20250618100011347,8,Big,red,82108
20250618100011348,3,Small,green,41833
20250618100011349,5,Big,"green,violet",99085
20250618100011350,5,Big,"green,violet",11905
20250618100011351,3,Small,green,80053
20250618100011352,5,Big,"green,violet",26325
20250618100011353,9,Big,green,20609
20250618100011354,4,Small,red,91874
20250618100011355,5,Big,"green,violet",94325
20250618100011356,2,Small,red,97112
20250618100011357,2,Small,red,81872
20250618100011358,0,Small,"red,violet",78800
20250618100011359,3,Small,green,66073
20250618100011360,6,Big,red,71376
20250618100011361,9,Big,green,46529
20250618100011362,7,Big,green,60837
20250618100011363,1,Small,green,68161
20250618100011364,7,Big,green,65577
20250618100011365,0,Small,"red,violet",30920
20250618100011366,1,Small,green,77601
20250618100011367,4,Small,red,91894
20250618100011368,3,Small,green,59683
20250618100011369,6,Big,red,86646
20250618100011370,2,Small,red,97782
20250618100011371,1,Small,green,96741
20250618100011372,2,Small,red,69932
20250618100011373,0,Small,"red,violet",23300
20250618100011374,4,Small,red,42814
20250618100011375,0,Small,"red,violet",69840
20250618100011376,1,Small,green,55841
20250618100011377,0,Small,"red,violet",92860
20250618100011378,7,Big,green,57537
20250618100011379,9,Big,green,27049
20250618100011380,3,Small,green,85153
20250618100011381,2,Small,red,94992
20250618100011382,5,Big,"green,violet",22825
20250618100011383,5,Big,"green,violet",21925
20250618100011384,2,Small,red,86372
20250618100011385,1,Small,green,72321
20250618100011386,6,Big,red,68156
20250618100011387,5,Big,"green,violet",77275
20250618100011388,5,Big,"green,violet",10855
20250618100011389,1,Small,green,58361
20250618100011390,6,Big,red,97086
20250618100011391,3,Small,green,37793
20250618100011392,7,Big,green,32907
20250618100011393,4,Small,red,15614
20250618100011394,1,Small,green,97641
20250618100011395,9,Big,green,73049
20250618100011396,7,Big,green,87647
20250618100011397,7,Big,green,82837
20250618100011398,2,Small,red,98742
20250618100011399,6,Big,red,60446
20250618100011400,1,Small,green,98861
20250618100011401,3,Small,green,49413
20250618100011402,9,Big,green,35999
20250618100011403,7,Big,green,75937
20250618100011404,0,Small,"red,violet",25800
20250618100011405,6,Big,red,26056
20250618100011406,3,Small,green,11323
20250618100011407,4,Small,red,67084
20250618100011408,3,Small,green,71603
20250618100011409,5,Big,"green,violet",64285
20250618100011410,6,Big,red,17526
20250618100011411,0,Small,"red,violet",11110
20250618100011412,4,Small,red,67724
20250618100011413,2,Small,red,88062
20250618100011414,2,Small,red,84582
20250618100011415,1,Small,green,51771
20250618100011416,6,Big,red,88096
20250618100011417,4,Small,red,81704
20250618100011418,6,Big,red,32396
20250618100011419,9,Big,green,28409
20250618100011420,6,Big,red,17926
20250618100011421,4,Small,red,77564
20250618100011422,2,Small,red,99122
20250618100011423,8,Big,red,61848
20250618100011424,0,Small,"red,violet",10310
20250618100011425,2,Small,red,44682
20250618100011426,5,Big,"green,violet",92195
20250618100011427,3,Small,green,88703
20250618100011428,3,Small,green,71003
20250618100011429,1,Small,green,34121
20250618100011430,3,Small,green,40413
20250618100011431,9,Big,green,71679
20250618100011432,7,Big,green,93957
20250618100011433,4,Small,red,81264
20250618100011434,9,Big,green,62639
20250618100011435,7,Big,green,74157
20250618100011436,7,Big,green,98837
20250618100011437,1,Small,green,49441
20250618100011438,2,Small,red,63022
20250618100011439,2,Small,red,16452
20250618100011440,7,Big,green,47297
20250619100010001,9,Big,green,45289
20250619100010002,9,Big,green,86319
20250619100010003,4,Small,red,65664
20250619100010004,7,Big,green,84347
20250619100010005,9,Big,green,41069
20250619100010006,1,Small,green,54341
20250619100010007,4,Small,red,29944
20250619100010008,5,Big,"green,violet",31645
20250619100010009,6,Big,red,27756
20250619100010010,9,Big,green,65779
20250619100010011,2,Small,red,14272
20250619100010012,8,Big,red,56098
20250619100010013,6,Big,red,28846
20250619100010014,5,Big,"green,violet",53575
20250619100010015,2,Small,red,95362
20250619100010016,6,Big,red,31126
20250619100010017,1,Small,green,25501
20250619100010018,8,Big,red,79648
20250619100010019,5,Big,"green,violet",92065
20250619100010020,4,Small,red,43674
20250619100010021,1,Small,green,42631
20250619100010022,3,Small,green,84753
20250619100010023,1,Small,green,35311
20250619100010024,8,Big,red,62058
20250619100010025,6,Big,red,39636
20250619100010026,6,Big,red,36946
20250619100010027,5,Big,"green,violet",96995
20250619100010028,3,Small,green,83623
20250619100010029,1,Small,green,32481
20250619100010030,7,Big,green,10517
20250619100010031,7,Big,green,78587
20250619100010032,4,Small,red,97024
20250619100010033,5,Big,"green,violet",30695
20250619100010034,7,Big,green,86067
20250619100010035,3,Small,green,44643
20250619100010036,2,Small,red,87652
20250619100010037,8,Big,red,48148
20250619100010038,8,Big,red,57318
20250619100010039,9,Big,green,26259
20250619100010040,7,Big,green,95527
20250619100010041,1,Small,green,91151
20250619100010042,3,Small,green,73973
20250619100010043,0,Small,"red,violet",99980
20250619100010044,6,Big,red,71496
20250619100010045,2,Small,red,58402
20250619100010046,4,Small,red,92954
20250619100010047,5,Big,"green,violet",86895
20250619100010048,6,Big,red,83646
20250619100010049,6,Big,red,22146
20250619100010050,1,Small,green,42221
20250619100010051,4,Small,red,20644
20250619100010052,7,Big,green,43137
20250619100010053,0,Small,"red,violet",41110
20250619100010054,2,Small,red,73102
20250619100010055,8,Big,red,75278
20250619100010056,8,Big,red,95618
20250619100010057,4,Small,red,27244
20250619100010058,5,Big,"green,violet",96855
20250619100010059,6,Big,red,60586
20250619100010060,8,Big,red,27008
20250619100010061,7,Big,green,48577
20250619100010062,8,Big,red,55888
20250619100010063,0,Small,"red,violet",35540
20250619100010064,1,Small,green,71471
20250619100010065,3,Small,green,77503
20250619100010066,5,Big,"green,violet",74405
20250619100010067,4,Small,red,56764
20250619100010068,2,Small,red,57862
20250619100010069,7,Big,green,96307
20250619100010070,8,Big,red,56158
20250619100010071,4,Small,red,12844
20250619100010072,1,Small,green,85611
20250619100010073,2,Small,red,52882
20250619100010074,5,Big,"green,violet",66035
20250619100010075,7,Big,green,96727
20250619100010076,1,Small,green,96551
20250619100010077,1,Small,green,64931
20250619100010078,1,Small,green,52701
20250619100010079,6,Big,red,99016
20250619100010080,6,Big,red,86526
20250619100010081,7,Big,green,91197
20250619100010082,0,Small,"red,violet",57340
20250619100010083,3,Small,green,70303
20250619100010084,3,Small,green,62143
20250619100010085,3,Small,green,64723
20250619100010086,5,Big,"green,violet",15985
20250619100010087,6,Big,red,78446
20250619100010088,2,Small,red,65952
20250619100010089,2,Small,red,57242
20250619100010090,1,Small,green,38161
20250619100010091,8,Big,red,89178
20250619100010092,5,Big,"green,violet",34315
20250619100010093,4,Small,red,24184
20250619100010094,9,Big,green,75869
20250619100010095,5,Big,"green,violet",12805
20250619100010096,4,Small,red,71344
20250619100010097,9,Big,green,95129
20250619100010098,4,Small,red,40694
20250619100010099,8,Big,red,49798
20250619100010100,3,Small,green,25303
20250619100010101,6,Big,red,32946
20250619100010102,8,Big,red,26878
20250619100010103,4,Small,red,29644
20250619100010104,6,Big,red,42786
20250619100010105,2,Small,red,44672
20250619100010106,8,Big,red,47338
20250619100010107,2,Small,red,56662
20250619100010108,2,Small,red,10412
20250619100010109,2,Small,red,10472
20250619100010110,9,Big,green,60309
20250619100010111,5,Big,"green,violet",75545
20250619100010112,3,Small,green,50013
20250619100010113,0,Small,"red,violet",38890
20250619100010114,9,Big,green,61449
20250619100010115,0,Small,"red,violet",13700
20250619100010116,8,Big,red,78088
20250619100010117,9,Big,green,29549
20250619100010118,4,Small,red,72084
20250619100010119,0,Small,"red,violet",97680
20250619100010120,9,Big,green,63939
20250619100010121,0,Small,"red,violet",66250
20250619100010122,8,Big,red,41308
20250619100010123,3,Small,green,47333
20250619100010124,8,Big,red,14808
20250619100010125,0,Small,"red,violet",47920
20250619100010126,7,Big,green,41867
20250619100010127,9,Big,green,94549
20250619100010128,2,Small,red,90662
20250619100010129,1,Small,green,70401
20250619100010130,7,Big,green,63257
20250619100010131,6,Big,red,56386
20250619100010132,2,Small,red,10652
20250619100010133,4,Small,red,88074
20250619100010134,4,Small,red,20014
20250619100010135,9,Big,green,53039
20250619100010136,9,Big,green,57219
20250619100010137,8,Big,red,85538
20250619100010138,1,Small,green,94521
20250619100010139,8,Big,red,73958
20250619100010140,3,Small,green,30563
20250619100010141,4,Small,red,11084
20250619100010142,4,Small,red,18344
20250619100010143,9,Big,green,74899
20250619100010144,5,Big,"green,violet",68945
20250619100010145,8,Big,red,31648
20250619100010146,7,Big,green,25567
20250619100010147,3,Small,green,38423
20250619100010148,9,Big,green,41319
20250619100010149,7,Big,green,85787
20250619100010150,1,Small,green,42821
20250619100010151,1,Small,green,20301
20250619100010152,7,Big,green,89637
20250619100010153,8,Big,red,68728
20250619100010154,9,Big,green,96099
20250619100010155,4,Small,red,63964
20250619100010156,2,Small,red,37542
20250619100010157,9,Big,green,10369
20250619100010158,4,Small,red,13114
20250619100010159,5,Big,"green,violet",75585
20250619100010160,4,Small,red,61604
20250619100010161,0,Small,"red,violet",19860
20250619100010162,4,Small,red,96984
20250619100010163,2,Small,red,62282
20250619100010164,0,Small,"red,violet",91300
20250619100010165,4,Small,red,40284
20250619100010166,0,Small,"red,violet",69000
20250619100010167,9,Big,green,17039
20250619100010168,4,Small,red,80714
20250619100010169,1,Small,green,82391
20250619100010170,0,Small,"red,violet",13830
20250619100010171,5,Big,"green,violet",20695
20250619100010172,1,Small,green,92491
20250619100010173,3,Small,green,90413
20250619100010174,7,Big,green,91757
20250619100010175,8,Big,red,49738
20250619100010176,6,Big,red,18126
20250619100010177,3,Small,green,52823
20250619100010178,3,Small,green,70653
20250619100010179,9,Big,green,22519
20250619100010180,1,Small,green,86381
20250619100010181,0,Small,"red,violet",61610
20250619100010182,8,Big,red,73848
20250619100010183,9,Big,green,67889
20250619100010184,2,Small,red,53952
20250619100010185,1,Small,green,40381
20250619100010186,1,Small,green,54401
20250619100010187,1,Small,green,57991
20250619100010188,4,Small,red,65294
20250619100010189,2,Small,red,88012
20250619100010190,5,Big,"green,violet",45415
20250619100010191,7,Big,green,78637
20250619100010192,7,Big,green,22697
20250619100010193,4,Small,red,19234
20250619100010194,3,Small,green,51133
20250619100010195,1,Small,green,28361
20250619100010196,4,Small,red,64294
20250619100010197,5,Big,"green,violet",91165
20250619100010198,2,Small,red,33932
20250619100010199,0,Small,"red,violet",51530
20250619100010200,6,Big,red,35706
20250619100010201,3,Small,green,12783
20250619100010202,4,Small,red,76434
20250619100010203,0,Small,"red,violet",32770
20250619100010204,7,Big,green,79457
20250619100010205,6,Big,red,33136
20250619100010206,4,Small,red,70384
20250619100010207,2,Small,red,35912
20250619100010208,3,Small,green,99053
20250619100010209,0,Small,"red,violet",42110
20250619100010210,0,Small,"red,violet",30120
20250619100010211,0,Small,"red,violet",99750
20250619100010212,6,Big,red,45336
20250619100010213,9,Big,green,45499
20250619100010214,6,Big,red,28396
20250619100010215,8,Big,red,71328
20250619100010216,1,Small,green,21261
20250619100010217,3,Small,green,65273
20250619100010218,4,Small,red,38834
20250619100010219,6,Big,red,44146
20250619100010220,0,Small,"red,violet",77740
20250619100010221,9,Big,green,84689
20250619100010222,7,Big,green,56517
20250619100010223,1,Small,green,46881
20250619100010224,6,Big,red,51626
20250619100010225,8,Big,red,78058
20250619100010226,9,Big,green,90869
20250619100010227,0,Small,"red,violet",24980
20250619100010228,1,Small,green,97311
20250619100010229,7,Big,green,21777
20250619100010230,3,Small,green,28763
20250619100010231,8,Big,red,25538
20250619100010232,1,Small,green,52061
20250619100010233,0,Small,"red,violet",94920
20250619100010234,4,Small,red,43884
20250619100010235,7,Big,green,54997
20250619100010236,8,Big,red,66438
20250619100010237,5,Big,"green,violet",52765
20250619100010238,5,Big,"green,violet",83325
20250619100010239,6,Big,red,96926
20250619100010240,6,Big,red,25286
20250619100010241,5,Big,"green,violet",46105
20250619100010242,2,Small,red,46102
20250619100010243,3,Small,green,48823
20250619100010244,4,Small,red,80274
20250619100010245,3,Small,green,59703
20250619100010246,3,Small,green,61253
20250619100010247,1,Small,green,29491
20250619100010248,0,Small,"red,violet",49870
20250619100010249,3,Small,green,87433
20250619100010250,1,Small,green,50261
20250619100010251,7,Big,green,32987
20250619100010252,2,Small,red,21762
20250619100010253,1,Small,green,88901
20250619100010254,7,Big,green,53277
20250619100010255,6,Big,red,26566
20250619100010256,7,Big,green,46647
20250619100010257,9,Big,green,61679
20250619100010258,7,Big,green,82937
20250619100010259,6,Big,red,25956
20250619100010260,4,Small,red,75644
20250619100010261,1,Small,green,66191
20250619100010262,8,Big,red,75308
20250619100010263,7,Big,green,60767
20250619100010264,5,Big,"green,violet",85945
20250619100010265,4,Small,red,56094
20250619100010266,6,Big,red,25306
20250619100010267,5,Big,"green,violet",28835
20250619100010268,5,Big,"green,violet",67825
20250619100010269,5,Big,"green,violet",35725
20250619100010270,6,Big,red,73306
20250619100010271,7,Big,green,16097
20250619100010272,6,Big,red,39566
20250619100010273,3,Small,green,24073
20250619100010274,1,Small,green,19701
20250619100010275,3,Small,green,64913
20250619100010276,9,Big,green,58969
20250619100010277,6,Big,red,49526
20250619100010278,9,Big,green,64999
20250619100010279,2,Small,red,43002
20250619100010280,9,Big,green,91799
20250619100010281,1,Small,green,78411
20250619100010282,6,Big,red,96836
20250619100010283,9,Big,green,69839
20250619100010284,7,Big,green,97907
20250619100010285,7,Big,green,42777
20250619100010286,8,Big,red,45038
20250619100010287,0,Small,"red,violet",70450
20250619100010288,3,Small,green,47733
20250619100010289,7,Big,green,28677
20250619100010290,2,Small,red,54042
20250619100010291,5,Big,"green,violet",32545
20250619100010292,0,Small,"red,violet",83920
20250619100010293,4,Small,red,22964
20250619100010294,5,Big,"green,violet",31215
20250619100010295,3,Small,green,86353
20250619100010296,5,Big,"green,violet",24535
20250619100010297,2,Small,red,85262
20250619100010298,0,Small,"red,violet",86520
20250619100010299,0,Small,"red,violet",24520
20250619100010300,6,Big,red,45746
20250619100010301,0,Small,"red,violet",82260
20250619100010302,7,Big,green,97477
20250619100010303,5,Big,"green,violet",53255
20250619100010304,1,Small,green,79751
20250619100010305,9,Big,green,98129
20250619100010306,3,Small,green,28153
20250619100010307,0,Small,"red,violet",78950
20250619100010308,7,Big,green,62967
20250619100010309,2,Small,red,46072
20250619100010310,6,Big,red,83776
20250619100010311,3,Small,green,71403
20250619100010312,9,Big,green,86599
20250619100010313,6,Big,red,52846
20250619100010314,7,Big,green,36477
20250619100010315,3,Small,green,24633
20250619100010316,8,Big,red,66818
20250619100010317,7,Big,green,92697
20250619100010318,6,Big,red,57916
20250619100010319,8,Big,red,17238
20250619100010320,1,Small,green,44201
20250619100010321,2,Small,red,75062
20250619100010322,1,Small,green,82781
20250619100010323,8,Big,red,11078
20250619100010324,8,Big,red,54788
20250619100010325,8,Big,red,82678
20250619100010326,3,Small,green,61383
20250619100010327,5,Big,"green,violet",51825
20250619100010328,9,Big,green,31879
20250619100010329,2,Small,red,86552
20250619100010330,5,Big,"green,violet",92535
20250619100010331,3,Small,green,77753
20250619100010332,0,Small,"red,violet",66710
20250619100010333,6,Big,red,73826
20250619100010334,0,Small,"red,violet",62050
20250619100010335,9,Big,green,32439
20250619100010336,8,Big,red,96828
20250619100010337,0,Small,"red,violet",15130
20250619100010338,3,Small,green,60603
20250619100010339,8,Big,red,95098
20250619100010340,3,Small,green,65683
20250619100010341,6,Big,red,11516
20250619100010342,8,Big,red,32038
20250619100010343,7,Big,green,36917
20250619100010344,0,Small,"red,violet",30600
20250619100010345,5,Big,"green,violet",53175
20250619100010346,4,Small,red,30104
20250619100010347,3,Small,green,58623
20250619100010348,3,Small,green,97383
20250619100010349,9,Big,green,59769
20250619100010350,3,Small,green,47853
20250619100010351,2,Small,red,73862
20250619100010352,1,Small,green,66481
20250619100010353,0,Small,"red,violet",39100
20250619100010354,2,Small,red,62212
20250619100010355,2,Small,red,38932
20250619100010356,7,Big,green,78247
20250619100010357,1,Small,green,89161
20250619100010358,5,Big,"green,violet",27435
20250619100010359,7,Big,green,78217
20250619100010360,4,Small,red,19134
20250619100010361,1,Small,green,50681
20250619100010362,6,Big,red,36526
20250619100010363,5,Big,"green,violet",32565
20250619100010364,0,Small,"red,violet",15830
20250619100010365,6,Big,red,54596
